Time,DroneID,X,Y,Z,Target position,Target Speed,Origin Lat,Origin Lon,Destination Lat,Destination Lon,Completed
330.00,FP000001,3814.72,60.96,-25892.93,"(3974.649, 60.96, -25799.5)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
330.00,FP000002,1462.56,60.96,-24691.20,"(1369.919, 60.96, -24535.93)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
330.00,FP000003,1208.20,60.96,-24260.70,"(1166.875, 60.96, -24190.38)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
330.00,FP000004,2122.63,0.00,-25024.63,"(2122.631, 0, -25024.63)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
330.00,FP000005,2470.12,60.96,-25615.79,"(2325.726, 60.96, -25370.17)",20,4584.16845703125,-26836.0078125,820.271301269531,-24392.744140625,false
330.00,FP000006,3082.07,91.44,-25073.01,"(3018.794, 91.44, -24965.36)",20,4584.16845703125,-26836.0078125,2756.12133789063,-23726.330078125,false
330.00,FP000007,3688.00,0.00,-26895.34,"(3688.002, 0, -26895.34)",20,4584.16845703125,-26836.0078125,3688.001953125,-26895.34375,false
330.00,FP000008,3824.33,60.96,-27279.91,"(3544.695, 60.96, -27443.23)",20,4584.16845703125,-26836.0078125,1513.45959472656,-23988.0078125,false
330.00,FP000009,4307.87,60.96,-26997.44,"(4237.696, 60.96, -27038.43)",20,4584.16845703125,-26836.0078125,3221.89697265625,-25310.888671875,false
340.00,FP000001,3974.65,60.96,-25799.50,"(4177.803, 60.96, -26145.01)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
340.00,FP000002,1360.20,60.96,-24519.38,"(1166.875, 60.96, -24190.38)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
340.00,FP000003,1106.88,60.96,-24088.26,"(963.8502, 60.96, -23844.83)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
340.00,FP000004,2122.63,0.00,-25024.63,"(2122.631, 0, -25024.63)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
340.00,FP000005,2368.76,60.96,-25443.37,"(2325.726, 60.96, -25370.17)",20,4584.16845703125,-26836.0078125,820.271301269531,-24392.744140625,false
340.00,FP000006,2980.72,91.44,-24900.59,"(2815.71, 91.44, -24619.83)",20,4584.16845703125,-26836.0078125,2756.12133789063,-23726.330078125,false
340.00,FP000007,3688.00,0.00,-26895.34,"(3688.002, 0, -26895.34)",20,4584.16845703125,-26836.0078125,3688.001953125,-26895.34375,false
340.00,FP000008,3651.63,60.96,-27380.78,"(3544.695, 60.96, -27443.23)",20,4584.16845703125,-26836.0078125,1513.45959472656,-23988.0078125,false
340.00,FP000009,4177.63,60.96,-26934.55,"(4034.499, 60.96, -26692.94)",20,4584.16845703125,-26836.0078125,3221.89697265625,-25310.888671875,false
350.00,FP000001,4076.02,60.96,-25971.90,"(4177.803, 60.96, -26145.01)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
350.00,FP000002,1258.87,60.96,-24346.93,"(1166.875, 60.96, -24190.38)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
350.00,FP000003,1005.56,60.96,-23915.82,"(963.8502, 60.96, -23844.83)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
350.00,FP000004,2122.63,0.00,-25024.63,"(2122.631, 0, -25024.63)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
350.00,FP000005,2267.41,60.96,-25270.95,"(2122.631, 60.96, -25024.63)",20,4584.16845703125,-26836.0078125,820.271301269531,-24392.744140625,false
350.00,FP000006,2879.38,91.44,-24728.16,"(2815.71, 91.44, -24619.83)",20,4584.16845703125,-26836.0078125,2756.12133789063,-23726.330078125,false
350.00,FP000007,3688.00,0.00,-26895.34,"(3688.002, 0, -26895.34)",20,4584.16845703125,-26836.0078125,3688.001953125,-26895.34375,false
350.00,FP000008,3506.79,60.96,-27372.74,"(3341.486, 60.96, -27097.74)",20,4584.16845703125,-26836.0078125,1513.45959472656,-23988.0078125,false
350.00,FP000009,4075.70,60.96,-26762.48,"(4034.499, 60.96, -26692.94)",20,4584.16845703125,-26836.0078125,3221.89697265625,-25310.888671875,false
350.00,FP000010,354.89,50.48,-22808.14,"(354.8897, 60.96, -22808.14)",20,354.889739990234,-22808.138671875,1597.60473632813,-22546.53125,false
