Simulation_Time,Event_Type,Drone_1,Drone_2,Distance,Collision_Threshold,Drone_1_Position,Drone_2_Position,Drone_1_Speed,Drone_2_Speed
12183.00,COLLISION_START,FP000103,FP000107,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12183.00,COLLISION_START,FP000106,FP000107,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12183.00,COLLISION_START,FP000101,FP000107,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12183.00,COLLISION_START,FP000107,FP000121,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12183.00,COLLISION_START,FP000107,FP000119,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12183.00,COLLISION_START,FP000107,FP000114,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12183.00,COLLISION_START,FP000107,FP000113,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12183.00,COLLISION_START,FP000107,FP000109,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12192.00,COLLISION_START,FP000084,FP000091,0.00,30.00,"(4536.81,0.00,19027.54)","(4536.81,0.00,19027.54)",0.00,0.00
12192.00,COLLISION_START,FP000084,FP000097,0.00,30.00,"(4536.81,0.00,19027.54)","(4536.81,0.00,19027.54)",0.00,0.00
12192.00,COLLISION_START,FP000084,FP000085,0.00,30.00,"(4536.81,0.00,19027.54)","(4536.81,0.00,19027.54)",0.00,0.00
12192.00,COLLISION_START,FP000084,FP000092,0.00,30.00,"(4536.81,0.00,19027.54)","(4536.81,0.00,19027.54)",0.00,0.00
12303.00,COLLISION_END,FP000114,FP000121,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
12303.00,COLLISION_END,FP000119,FP000121,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
12303.00,COLLISION_END,FP000103,FP000106,44.00,30.00,"(10262.88,0.00,8095.92)","(10219.12,4.66,8096.19)",0.00,44.00
12303.00,COLLISION_END,FP000103,FP000119,44.00,30.00,"(10262.88,0.00,8095.92)","(10219.12,4.66,8096.19)",0.00,44.00
12303.00,COLLISION_END,FP000103,FP000114,44.00,30.00,"(10262.88,0.00,8095.92)","(10219.12,4.66,8096.19)",0.00,44.00
12303.00,COLLISION_END,FP000109,FP000119,44.00,30.00,"(10262.88,0.00,8095.92)","(10219.12,4.66,8096.19)",0.00,44.00
