OAS_NUMBER,VERIFICATION_STATUS,COUNTRY,STATE,CITY,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,LATITUDE_DMS,LONGITUDE_DMS,OBSTACLE_TYPE,QUANTITY,AGL_HT,AMSL_HT,LIGHTING,HORIZONTAL_ACCURACY,VERTICAL_ACCURACY,MARK_INDICATOR,FAA_STUDY_NUMBER,ACTION,JULIAN_DATE
36-160062,O,US,NY,LONG ISLAND CITY,40.739519,-73.961358,40 44 22.27N,073 57 40.89W,BLDG,1,605,628,R,4.0,D,N,2018AEA15462OE C,20,23130
36-020636,U,US,NY,NEW YORK,40.739558,-73.973611,40 44 22.41N,073 58 25.00W,BLDG,1,289,292,N,,,N,2006AEA04389OE C,20,15009
36-225722,O,US,NY,NEW YORK,40.739639,-73.958353,40 44 22.70N,073 57 30.07W,BLDG,1,387,402,N,4.0,D,N,2021AEA06173OE A,20,24075
36-029652,O,US,NY,NEW YORK,40.739775,-73.974117,40 44 23.19N,073 58 26.82W,BLDG,1,288,291,R,5.0,D,N,2012AEA06004OE A,20,14087
36-225718,U,US,NY,NEW YORK,40.739864,-73.959519,40 44 23.51N,073 57 34.27W,BLDG,1,65,80,N,4.0,D,N,2021AEA06172OE A,20,23289
36-029755,O,US,NY,NEW YORK,40.739944,-73.987389,40 44 23.80N,073 59 14.60W,BLDG,1,786,817,R,5.0,D,N,2015AEA01366OE C,20,16176
36-025438,O,US,NY,NEW YORK,40.740631,-73.982947,40 44 26.27N,073 58 58.61W,BLDG,1,177,213,N,2.0,C,N,2011AEA01581OE A,20,11224
36-022804,O,US,NY,NEW YORK,40.740914,-73.874344,40 44 27.29N,073 52 27.64W,BLDG,1,155,211,U,1.0,A,U,A,20,11035
36-002369,U,US,NY,NEW YORK,40.741111,-73.973889,40 44 28.00N,073 58 26.00W,BLDG,1,268,282,U,4.0,D,U,2003AEA00581OE C,20,14124
36-169577,O,US,NY,NEW YORK,40.741283,-73.960106,40 44 28.62N,073 57 36.38W,BLDG,1,512,524,R,4.0,D,N,2018AEA13796OE A,20,20178
36-025687,O,US,NY,NEW YORK,40.741344,-73.973011,40 44 28.84N,073 58 22.84W,BLDG,1,282,286,R,2.0,C,N,2023AEA05227OE C,20,24066
36-129824,U,US,NY,NEW YORK,40.741631,-73.923664,40 44 29.87N,073 55 25.19W,POLE,1,30,122,N,4.0,D,N,2017AEA07553OE A,20,18060
36-173152,O,US,NY,NEW YORK,40.742083,-73.959058,40 44 31.50N,073 57 32.61W,BLDG,1,608,620,R,4.0,D,N,2018AEA13776OE C,20,21063
36-169552,O,US,NY,NEW YORK,40.742647,-73.990919,40 44 33.53N,073 59 27.31W,BLDG,1,322,360,N,4.0,D,N,2018AEA10939OE A,20,20160
36-119890,U,US,NY,LONG ISLAND CITY,40.742667,-73.937283,40 44 33.60N,073 56 14.22W,POLE,1,120,133,N,4.0,D,N,2013AEA05050OE A,20,18026
36-027688,O,US,NY,NEW YORK,40.742769,-73.973036,40 44 33.97N,073 58 22.93W,BLDG,1,430,440,R,5.0,D,N,2013AEA02881OE C,20,16209
36-024705,O,US,NY,NEW YORK,40.743819,-73.973383,40 44 37.75N,073 58 24.18W,BLDG,1,53,66,N,5.0,D,N,2010AEA05112OE A,20,11193
36-150520,O,US,NY,NEW YORK,40.744164,-73.984556,40 44 38.99N,073 59 04.40W,BLDG,1,605,645,R,4.0,D,N,2018AEA07308OE C,20,20043
36-029726,O,US,NY,NEW YORK,40.744653,-73.972275,40 44 40.75N,073 58 20.19W,BLDG,1,560,563,R,5.0,D,N,2013AEA06781OE C,20,16120
36-001860,U,US,NY,NEW YORK,40.745,-73.980833,40 44 42.00N,073 58 51.00W,BLDG,1,222,252,N,4.0,D,N,1994AEA01802OE C,20,14124
36-189270,O,US,NY,NEW YORK,40.745158,-73.987606,40 44 42.57N,073 59 15.38W,BLDG,1,263,305,N,4.0,D,N,2021AEA05656OE A,20,21291
36-226593,O,US,NY,NEW YORK,40.745206,-74.007064,40 44 42.74N,074 00 25.43W,BLDG,1,297,305,R,4.0,D,N,2024AEA00713OE A,20,24120
36-030261,O,US,NY,LONG ISLAND CITY,40.745278,-73.946111,40 44 43.00N,073 56 46.00W,BLDG,1,499,508,R,4.0,D,N,2014AEA03593OE C,20,18057
36-022799,O,US,NY,NEW YORK,40.745389,-73.895897,40 44 43.40N,073 53 45.23W,BLDG,1,128,186,U,1.0,A,U,A,20,11035
36-225707,O,US,NY,NEW YORK,40.745406,-73.977825,40 44 43.46N,073 58 40.17W,BLDG,1,391,418,R,1.0,A,N,2023AEA08449OE A,20,24073
36-178931,U,US,NY,NEW YORK,40.745803,-73.758358,40 44 44.89N,073 45 30.09W,BLDG,1,159,256,N,4.0,D,N,2021AEA05925OE A,20,21274
36-160042,O,US,NY,NEW YORK,40.745833,-73.985,40 44 45.00N,073 59 06.00W,BLDG,1,799,839,R,4.0,D,N,2018AEA11545OE A,20,20104
